genre,track_id,artist_name,title,loudness,tempo,time_signature,key,mode,duration,avg_timbre1,avg_timbre2,avg_timbre3,avg_timbre4,avg_timbre5,avg_timbre6,avg_timbre7,avg_timbre8,avg_timbre9,avg_timbre10,avg_timbre11,avg_timbre12,var_timbre1,var_timbre2,var_timbre3,var_timbre4,var_timbre5,var_timbre6,var_timbre7,var_timbre8,var_timbre9,var_timbre10,var_timbre11,var_timbre12
dance and electronica,TRHDOVL128F9321BA0,Sylvain Chauveau,Le brasier de tristesse,-21.518,56.638999999999996,1,0,1,215.97995,32.3849155405,-194.52944256799998,17.1161013514,-11.197081081099999,12.4874324324,-20.0990675676,-27.0797939189,7.7980777027,-33.2017331081,-10.9406182432,11.101581081099999,-3.7246858108099996,27.89066378,1312.70051066,1168.09731569,685.145685845,621.076842455,311.372002495,321.505666583,255.901558018,440.354901459,137.422460452,112.888270189,235.789685371
classic pop and rock,TRHRXJL128F92F20E5,Train,Words,-3.117,155.561,4,5,1,207.5424,51.8357346221,39.4467926186,41.7470474517,-0.0116326889279,-2.3395746924400003,-10.1942513181,7.873952548330001,-2.1629279437599997,-7.302337434089999,-5.25270650264,-1.76020913884,-4.08282776801,22.452731024499997,1186.41079754,1107.53281089,1270.42513742,686.777885693,745.7528328210001,508.34260258300003,383.172578812,378.123088094,216.95904333599998,274.843165912,346.31728405800004
folk,TRPGOHU12903CAF14A,Eliza Carthy,Stingo / The Stacking Reel,-12.732000000000001,205.357,3,2,1,368.1171,39.850348680500005,48.70022908479999,-21.6245710275,1.02901122965,-3.6512914093199997,-7.05026501965,3.4700443571,1.4483683324,-1.57675463223,2.21576866929,0.0547860752386,3.79008702976,28.016065986799997,1614.00041924,4172.45426724,1287.6607252000001,808.802448871,818.001905746,590.9542297180001,426.277887051,246.45856040000004,325.148939894,329.388456571,321.549230708
classic pop and rock,TRFTISH128EF3427A4,Warren Zevon,Let Nothing Come Between You (Previously Unreleased Alternate),-11.174000000000001,106.344,4,9,0,220.13342000000003,41.797394557800004,14.2676428571,-1.16123469388,0.0568724489796,-19.0556615646,-4.16036564626,-6.45747108844,-2.5445238095200002,0.252147959184,-3.5523741496599994,-1.07362244898,-10.2854965986,39.5177583851,1465.42715977,601.570993506,715.0887997169999,679.392821231,707.601829858,329.925958076,417.065517974,235.115437663,316.555072156,221.950725232,148.303277036
classic pop and rock,TRLIFBG128F1456BAD,Lamont Dozier,Let Me Start Tonite,-14.200999999999999,86.014,5,6,1,217.96526,38.8788056581,22.649933579299997,28.2566236162,-1.1187699877,-33.4231758918,-1.6809138991400001,-3.3248696187,-5.953927429269999,23.3759840098,5.21107380074,-1.14675276753,11.5283308733,31.950041025,1274.18783492,1413.52187523,825.7112153969999,954.98532828,560.1512762880001,466.462672859,400.192266284,471.048121366,273.492417687,188.32328659900003,237.15035330599997
soul and reggae,TRWTYMZ128F93263EB,Lionel Richie,The Only One,-12.729000000000001,127.911,4,6,1,267.2322,39.5252961012,-36.946630137,-29.052253951500003,-2.73305268704,4.1059336143300005,-13.2826217071,13.616030558499999,-19.1412265543,18.153052687,-3.2198240252900003,-1.56706217071,0.431677555321,38.9601132263,2743.24763598,2540.68106963,1793.53455072,949.5354352210001,1020.20083314,977.465546312,733.839775739,433.074448777,418.526843026,260.859292115,304.277466008
jazz and blues,TRVRTZA128F92C96B6,Archie Shepp,Sophisticated Lady - Original,-16.24,43.388999999999996,4,0,0,314.51383,37.3975398907,-97.1293344262,35.8797770492,-1.8104415300499999,8.79074754098,-8.029299453550001,-18.9622754098,-3.2207125683099997,0.879995628415,-1.70198251366,0.8917650273219999,0.464379234973,16.7202677894,2554.53870298,2116.40392844,1645.70705639,772.299563581,576.056608129,478.839447439,470.98014183099997,505.321027165,285.955645591,179.11928244599997,367.839962345
folk,TRYBSBI12903CCA171,Barry Dransfield,John Barleycorn,-12.224,166.109,1,2,1,198.94812,41.4859904502,-23.6454215553,84.88299863569999,2.04141882674,15.1234693042,28.403482946799997,-57.4610709413,-7.22853342428,-9.29694406548,0.000843110504776,3.62277626194,9.27688267394,13.027744235899998,3170.75525792,2010.18123753,1427.17952746,1142.92326082,697.7703057389999,1030.57961146,636.121770694,359.18272268,418.555538105,342.783507134,343.813642286
folk,TRDBYIN12903CC09BB,David Olney,Brothers Dean,-14.487,89.02,1,7,1,177.10975,38.7347524558,-35.9168094303,18.095978389000003,-9.392954813360001,-1.32213752456,1.9929528487200001,-6.2743438113900005,-5.80415127701,17.6961335953,-0.514524557957,-3.26823968566,18.5175913556,15.7859021902,1562.11018699,693.664824646,1494.13143561,761.884993816,642.563690933,477.108287459,463.88763061199995,350.923077416,242.897739487,262.61623841799997,199.57535871299999
classic pop and rock,TRQBELB12903CBA1B5,Jermaine Jackson,I Dream_ I Dream,-10.162,106.56299999999999,4,4,0,283.76771,41.7848314873,60.615022943,-3.2044786392400004,20.5190893987,37.5183291139,-14.7374129747,-4.727787974680001,1.8376431962,6.70671835443,9.98512420886,7.067575949369999,7.31090822785,39.316603868,1257.66525908,1666.97461349,1501.13339392,770.744282979,1099.99969122,803.139057077,325.33887557400004,315.58889768,229.423654144,446.715306504,279.024671223
classic pop and rock,TRDAKUJ128F931C99F,The B-52's,Dreamland (Album Version),-7.83,119.804,4,4,1,455.10485,46.577973121199996,72.4020170049,22.9023916621,5.70167251783,11.2955002743,-25.8609956116,6.617415798130001,1.41908612178,3.33466483818,3.99307734504,3.45708557323,-6.33150137137,21.8401800887,960.394525457,1437.56879505,726.242660258,551.720850982,398.34407806699994,533.067072335,273.389056858,188.703286836,153.615594684,147.682999763,220.971462704
classic pop and rock,TRZPYZQ128F1494D71,Kristin Hersh,Vertigo,-11.045,119.979,3,9,0,240.03873,40.9545348226,-11.8527910644,-30.2488975033,-15.7305637319,-10.7691800263,-5.365223390280001,-10.8619316689,-8.22326675427,3.9611892247000005,1.45960052562,0.0101130091984,9.53265703022,55.5529161016,1674.50656153,3480.26890782,1783.96098106,1183.45962287,1036.04084327,527.618213793,529.007779552,262.117410343,319.89318747,351.63600348,261.366655437
folk,TRNMWBR128F92E37A2,The Avett Brothers,Pretty Girl At The Airport,-11.463,135.555,4,9,1,298.73587000000003,41.9361399387,-67.3078100102,17.780546475999998,4.09062614913,-27.0769193054,-13.949799795699999,13.0281235955,-7.661016343210001,8.31108682329,0.605455566905,5.654585291109999,21.9122114402,28.3868180979,2100.0317191,554.507731896,630.582598279,759.360859937,397.689528718,328.232818864,361.88909451,272.923404823,181.126322052,149.530714688,374.547697317
folk,TRMXNVT128F1496A2B,The Incredible String Band,Can't Keep Me Here (LP Version),-16.621,146.93,4,4,1,132.67546000000002,33.7039572193,-60.1705508021,3.28139839572,8.940946524060001,11.079224598900002,19.6886203209,5.489203208559999,-0.495098930481,1.57750802139,1.46782887701,-6.7213609625699995,2.2048850267400004,28.9202577308,2167.8578222,1744.6199037000001,3212.2278344,754.7195554310001,1950.64633141,783.8548230389999,570.957878768,467.976920758,368.44427094900004,721.701834937,351.672503936
classic pop and rock,TRDZSCU128F146673B,ARRESTED DEVELOPMENT,United Minds,-10.859000000000002,107.975,4,7,0,316.70812,41.1211682911,4.3233463287800005,-7.69387134503,6.01330474334,0.688463937622,-0.070649122807,-0.334179987005,3.5083268356099997,9.88127420403,3.5798596491199994,-3.0098011695899998,1.04561598441,16.9864049756,1488.08607955,2132.78556537,2348.55825941,811.8642232489999,1228.73608184,590.683519599,597.1669731659999,466.470364664,403.382830851,457.654476657,235.49050465
punk,TRYDKOW128EF363E63,Thee S.T.P.,Emergency,-5.551,155.674,4,7,1,116.6624,50.199335570500004,56.8800536913,-5.439008948550001,-12.414778523499999,-15.0602281879,-20.1424272931,-0.944098434004,-0.426794183445,5.99000223714,1.35073825503,-1.5088769574899998,1.5203154362399998,11.506238164800001,1026.34026895,1404.75436462,757.287272575,532.242392507,458.582988419,325.79224698400003,435.82612466,201.520778396,269.428467334,153.220344712,192.739531317
classic pop and rock,TRSXFBO128F93392EA,Little Anthony_ The Imperials,Tears On My Pillow,-16.317999999999998,101.25399999999999,3,0,1,132.07465,35.3349417808,-120.17435958899999,50.065226027399994,-4.955178082190001,-45.8843013699,-3.9844965753400006,13.861181506800001,8.70743150685,32.9521643836,11.5199965753,-3.8494315068500002,20.819863013699997,42.1631464932,2262.32135742,3776.0170856,1854.88628934,628.275892039,738.86151738,853.289668779,230.110649643,784.897646809,176.697955017,244.886152745,567.407571468
classic pop and rock,TRWRHFK128F427D62D,PAULA COLE,Chiaroscuro (Album Version),-9.965,97.954,4,10,0,308.87138,42.801637335500004,-27.160834703899997,28.3325337171,4.5323108552599995,-10.8500164474,-4.66164391447,-2.56300740132,-3.4100855263200005,1.41722615132,-5.01394819079,0.838644736842,3.06583305921,29.5676240963,2048.54216967,1793.03251383,1380.81444262,1089.58575822,902.0084916110001,733.830389812,432.92177028099997,417.808877211,350.40279694199995,254.315010245,296.530322366
folk,TRIDWDW128F92EA141,Christy Moore,Ordinary Man,-13.84,102.833,4,9,0,256.96608,37.9136240458,-15.412857824400001,20.1906641221,1.00266507634,9.81483778626,-0.567958969466,-6.50050763359,1.1865324427500001,-15.300361641199999,-2.6073883587799997,-1.01380057252,4.4110648855,54.7438421755,1785.45366894,1475.25507869,1106.72841995,638.7705169530001,786.912600013,463.755534992,475.342140554,387.524051882,325.362290043,219.169579675,225.794616225
jazz and blues,TRIQZKB12903CCF520,Kenny Garrett,Brother B Harper (Album Version),-8.822000000000001,136.187,4,5,0,479.50322,44.41195347,-7.018393533119999,32.116149053600004,0.9313596214509999,-19.7329085174,-15.9851277603,11.648311514200001,4.57730835962,8.54519479495,5.5261190851699995,-0.638845425868,3.68167586751,46.1129360948,2635.64679466,2161.33490553,927.2079022080001,706.36576373,520.545729261,411.08342679300006,365.931449314,220.50015276599999,194.153837767,212.377846068,273.06935069900004
folk,TRYICMR128F92F9F1A,Peter Rowan,Fair and Tender Ladies,-13.799000000000001,171.63299999999998,4,5,1,312.52853,39.8278248731,-33.482046954299996,-11.8217715736,-13.1506865482,2.95954314721,-17.8987614213,-11.2963718274,-13.446318527899999,14.912606599,3.36383121827,4.14348730964,13.152430203,17.8249754769,1612.73036034,1136.52336412,1257.48332333,684.534785515,554.746322778,483.315772723,330.274209661,346.560822028,214.90022607900002,215.574257448,293.228094887
folk,TRLKJFT128F428C0A0,Doyle Dykes,White Rose For Heidi,-10.729000000000001,129.007,4,0,1,257.09668999999997,41.8865523466,-60.337270758100004,6.487936823099999,-9.14515523466,-19.4056299639,-3.7631317689499997,-30.172779783400003,-16.596458483800003,8.14852527076,-5.208657039709999,7.866750902530001,4.59610649819,25.538773868200003,2187.36196337,802.704711478,880.5387106730001,977.7244249439999,847.091822638,230.991969923,292.415352721,194.29000135400003,187.75936049599997,179.257607646,123.34895534399999
classic pop and rock,TRVMXPX128F9332156,The Sonics,I'll Always Love Her,-13.982999999999999,89.85600000000001,3,11,0,166.45179,41.2153645833,-34.8968993056,74.8929305556,6.07034722222,13.2059097222,-20.2506493056,27.6508506944,3.20874652778,-8.98622222222,-14.472149305599999,-0.690107638889,3.554347222219999,30.3799968567,3014.50171096,1605.02846004,1912.3416734999998,990.863660082,457.802546346,604.500499849,735.077652974,547.90932518,400.869253988,256.870391089,278.601624713
folk,TRCCYFW128F92FE5A2,Rhonda Vincent,Keep Your Feet On The Ground,-6.007999999999999,114.637,5,4,1,142.00118,49.0947611203,-8.12730971993,59.048228995100004,6.40763756178,12.737095551900001,-1.43967545305,-12.4019242175,2.3989967051099996,16.6428467875,1.20276276771,3.53525864909,10.3362240527,10.3887081588,1537.1874463,894.842362483,1046.9785412,616.381756528,635.293171442,484.240735464,319.870205628,362.51118715800004,254.37412828599997,277.990311938,408.19038956400004
classic pop and rock,TREIRJA12903CE51E5,Harry J Allstars,My Cherie Amour,-12.812999999999999,133.83,1,1,0,141.66159,40.0585787781,-90.0270546624,-1.28619935691,34.7058762058,-6.92863826367,4.24040192926,33.6913762058,-34.9723826367,1.9538922829599998,-14.7019019293,1.34743569132,-0.606482315113,21.826781359499996,1569.31158582,1821.60664614,1206.27014051,1387.62344809,1086.41897345,575.065978286,720.304175783,1179.41862184,758.668186185,238.612510403,328.403120057
punk,TRFMDXP128F42AA57A,Mecano,La Bola De Cristal,-6.943,189.965,4,0,1,204.38159,46.8667733675,33.1289692702,3.1542189500599997,-12.6808284251,-13.037580025599999,-8.62983354673,-18.6061165173,-1.6324673495500002,8.974988476310001,-0.950574903969,4.097988476309999,11.949740076800001,42.6570124083,1739.26414265,1727.76513788,1043.8310102,531.395054804,792.777038538,596.869862728,588.840756244,282.776395151,406.495240547,339.363152001,203.029879073
classic pop and rock,TRSTOEJ12903CABDDC,John Waite,The Choice,-9.759,56.903999999999996,5,7,0,264.38485,43.1093996937,4.46834303216,6.7702297090400005,-12.273229709,-12.6128346095,-9.21589892802,-15.1396232772,-7.57363705972,8.15487136294,-2.46036753446,-2.4211041347599997,-4.53434762634,35.6401601603,2868.2596815,1593.87680292,1466.9416386,1013.1047990000001,786.2229805630001,778.043184311,500.841140599,379.954744918,268.687198701,292.059713285,343.233732649
classic pop and rock,TRLEXPP128F933688E,The Elgins,Lost My Love,-16.509,107.91,4,0,0,164.12689,38.495602230500005,-84.9642565056,86.3103698885,22.475466542800003,-24.4062156134,-3.3649888475800003,31.0172081784,9.337814126389999,0.339739776952,-0.761862453532,0.653475836431,15.3479553903,12.293382142899999,2415.54387589,1896.84953053,1270.5171576,776.280515842,610.7367193680001,756.664356288,437.11478898800004,472.890083951,210.935041089,260.834969867,350.335130667
classical,TRCJPWK128F427D9D9,Sir Charles Mackerras/Scottish Chamber Orchestra/Ian Bostridge,Idomeneo KV 366_ Act 1_ Scene VIII: Recitativo: Eccoci salvi alfin (Idomeneo),-28.345,53.989,1,3,1,39.28771,21.9205533981,-32.4561650485,72.3155825243,-3.90396116505,18.7160194175,-13.0641262136,-21.0086893204,2.51039805825,-24.1632815534,-2.7207184466000003,-1.64790291262,-1.8330485436900001,48.788415218000004,2188.9933873000004,3471.81363745,2690.30610938,1049.36304408,467.086700635,570.820719826,843.21532024,684.951566338,224.056782765,233.35360195200002,483.04624092
classic pop and rock,TRTSJYL12903CEAE8C,Tilly & The Wall,Save Me Now,-7.011,98.961,4,2,0,187.0624,46.5567839286,17.9951517857,20.253060714300002,-5.16527678571,-6.75805892857,-11.657755357100001,-11.4711464286,-12.841046428599999,0.5751875,-1.3697321428600002,-1.27850178571,-0.347076785714,43.848135112200005,4025.59163122,1721.11497509,1197.07674738,1361.40677994,419.67530732800003,684.891510493,637.439150319,301.319512174,348.78494526400004,200.554683164,310.60307076
classic pop and rock,TRCDAIU128F92C77DF,Colbie Caillat,Capri,-14.887,67.217,3,4,1,176.56118,33.0256396396,-35.1003783784,-13.3060878378,-22.910700450500002,23.6256644144,10.1581103604,-40.3089954955,-4.9493423423400005,-5.392903153150001,-10.3416959459,-5.27363288288,4.35586261261,74.2299750503,6878.37480583,3876.5034939,4870.95890268,1114.04297052,1374.11326339,1026.41260023,1128.85293388,676.775417578,582.045127739,917.04874357,482.751574641
classic pop and rock,TRSQSUE128F423F56E,Bobby Womack,I Feel A Groove Comin' On,-7.207999999999999,131.267,4,11,0,513.72363,47.798845158199995,-2.86683269415,41.2893902205,7.74950958773,-7.189511984660001,-6.828285714290001,0.698275647172,-1.19065867689,6.04400047939,1.0852032598299999,0.805394534995,4.237878235859999,15.1771909497,1103.50330036,1184.17836366,914.268830289,325.326552988,488.45518416199997,247.29938279400002,286.604122969,207.028497338,198.288416556,186.29075564099998,229.63372928
metal,TRRHCNP12903CE6B93,Dog Eat Dog,Who's The King,-9.641,96.594,4,0,1,235.20608,46.015340395500004,11.6824166667,18.6835776836,-4.7663163841800005,-48.591704802299994,-13.762528248599999,0.250529661017,10.9657457627,2.97370338983,6.51740677966,-0.491240112994,4.258532485880001,8.70363886012,979.584689122,1655.61932299,727.706010225,725.9277541089999,479.903932035,375.33234263,495.158459204,221.76899177599998,194.616862137,179.670235245,135.377925266
folk,TRIWOJI128F14A547D,Kate Wolf,I Had A Good Father And Mother (Live_ Los Angeles_ CA 1977-1979),-20.093,75.109,4,4,1,235.7024,28.5609057143,-55.353008571400004,-59.0486785714,-40.0484657143,-9.00951,-10.176885714299999,-25.0194242857,2.53832571429,-5.33828571429,1.5026342857100001,0.06343714285709999,14.7021028571,55.7692274168,5048.15443418,3759.58002086,2071.48128644,1096.0512840999997,1031.24528181,836.899882779,569.835391037,581.38730401,361.994114255,403.767117786,564.1896100069999
jazz and blues,TRUEDPU12903CF4755,James Hunter,Can of Beer,-8.542,102.588,4,4,0,220.39465,44.5386850153,-30.133533639099998,17.2778042813,-6.801504587159999,-6.495870030580001,-0.792535168196,1.05375382263,1.72457798165,-15.981750764500001,-8.12709785933,-3.26690366972,-2.66899235474,22.648922121,1014.89495541,2245.00680679,1614.89599743,914.833485067,834.076423983,708.464104057,362.61064327400004,489.570321441,284.956350575,321.48068816,403.04133639300005
classic pop and rock,TRLPMDG128F93509CC,Glen Campbell,Please Come To Boston,-15.039000000000001,146.156,1,2,1,214.90892999999997,38.334548480500004,54.113544138900004,-15.4481099855,-27.5978219971,8.84082633864,-13.0754790159,-24.7543719247,-7.388305354560001,-1.77423878437,1.1264978292299999,-1.29802460203,10.5425571635,29.0819405747,1196.19195967,1029.19482961,753.8408963610001,686.65999676,320.805197101,298.08883028900004,337.983366412,328.320384358,255.854371903,143.281374985,158.163915978
folk,TRTFPKD128F931B49F,Sam Bush,Apple Blossom,-11.203,221.852,3,2,1,95.18975,44.101873150100005,-19.4581987315,117.297536998,28.1969260042,50.0674566596,2.9173530655400004,-30.000230444,-0.919192389006,-11.0893826638,-11.737515856199998,7.88653911205,4.04724947146,12.588579176300001,2725.12377488,1308.12604107,575.440277151,609.312185462,375.03879309900003,408.190368685,222.332670265,298.47927745,148.002517992,132.677684147,305.50599409
classic pop and rock,TRKSGCI128F933A412,Johnny Nash,Ooh Baby You've Been Good To Me,-12.57,124.65799999999999,4,9,1,152.13669,37.6026038961,2.9300627705599998,17.266787878800002,-12.1262835498,-8.71717965368,28.001270562800002,-9.36794588745,4.32417965368,-4.201329004330001,-8.5049004329,-8.84090692641,4.9747034632,65.4941056331,2363.63469056,1979.79802862,3891.38802163,880.7584320560001,1526.99043918,699.7717180469999,633.898931844,341.818038848,423.84448388199996,488.77700948300003,288.675003585
classic pop and rock,TRFJVBH128F4254E6D,England Dan & John Ford Coley,Another Golden Oldie Night For Wendy (LP Version),-13.460999999999999,153.14700000000002,4,4,1,224.28689,41.0503098592,50.1164659624,35.15075,-0.37824882629100004,-3.63737558685,-14.1786561033,-3.1474823943700003,3.6553075117400002,2.22854107981,4.269451877930001,1.1695293427200002,-2.30664319249,36.743813828899995,1191.40738343,1262.02944007,697.037070358,1166.3450381,725.4916430869999,461.031282236,318.811493326,525.736359023,222.642617717,190.945640219,330.598509089
jazz and blues,TRSACDH128F92F3848,James Taylor Quartet,Function At The Junction,-2.345,86.882,5,0,1,312.13669,51.862465891499994,24.8920100775,18.8989271318,13.333060465099999,14.1613914729,0.0758209302326,1.14289302326,3.77351550388,-6.39793023256,-7.448832558139999,1.17824883721,-1.86960775194,12.572541123299999,1775.44572468,1780.44647513,1137.33412435,792.095182528,981.1739568339999,521.248095161,441.38573098,443.44452237300004,381.682598098,283.581511796,333.135993398
classic pop and rock,TRWYWZN12903CBAC8A,Cyndi Lauper,Broken Glass,-8.477,96.055,4,7,1,332.56444,45.0652506579,17.6561039474,25.298264473699998,10.043079605299999,-9.88358947368,-5.16543684211,0.0785164473684,2.76634342105,3.93275657895,-0.6773802631579999,2.45650131579,8.16276644737,22.4674812839,1624.43515329,2727.8441789,1366.38184969,997.038789395,922.38177591,678.171040131,561.374784558,359.82245535,294.103130849,314.523004893,363.071891715
soul and reggae,TRIVUXU128F4254B3C,Triston Palmer,Joker Smoker,-14.164000000000001,94.27799999999999,5,5,0,211.93097999999998,38.6845230179,22.6489744246,6.46011636829,10.5609322251,-36.1335319693,5.04117902813,19.1732237852,2.72331969309,6.58276342711,9.491580562660001,-13.2442429668,-16.0126918159,26.563740661199997,2420.27661356,1898.14713924,2368.46914284,1168.80117473,1185.35101407,975.5429218260001,589.971404473,454.55483551599997,346.872003451,441.181424862,308.354415597
classic pop and rock,TRBMQVW128F92E9CCC,Little Feat,Mercenary Territory [Live Album Version],-8.033,102.694,1,2,1,276.84526,46.2413734671,13.7897112598,29.5279732441,4.61203121516,-13.778154960999998,-8.91903567447,2.12252285396,-1.12431103679,-0.537180602007,-1.18708026756,-1.03166220736,-4.4014671126,19.1222895562,1712.63255435,1687.35620942,1209.85179818,553.662778646,709.02138995,474.64461620699996,311.281897347,362.864429678,218.601015543,272.67209172599996,313.42110937
folk,TRJYFKP128F9314E1A,Sean Watkins,THEY SAIL AWAY,-8.796,120.678,3,2,1,186.69669,45.1939778189,-58.8595674677,1.95291127542,-10.850844732,-31.4783955638,-17.3682624769,-8.62464695009,-14.244101663599999,3.75640665434,-3.56670055453,5.22446210721,14.9836524954,41.599780986599995,2512.2217688,1222.26606484,1230.50092359,851.3607796480001,457.12629819,415.260044935,430.58706031300005,271.86728613400004,252.132127725,169.207063347,292.277780452
classical,TRQGPNZ128F92FA727,Scottish Chamber Orchestra,March_ K237,-14.945,68.824,1,9,1,173.63546000000002,34.1722885375,-77.7371343874,87.36434584979999,6.90994071146,15.687962450599999,9.507415019760002,-19.3283932806,-3.39438537549,-3.7979743082999997,-6.99398814229,-8.175899209489998,1.0572667984200002,55.0777339405,2352.50472674,1220.54988776,2143.19058493,434.52266931699995,646.271274492,526.460742839,341.90952966,371.546695657,236.479538194,229.125472632,239.163328931
punk,TRJOHTK128F423DA5C,Die Original Wiener Schrammeln,Altes Wiener Fiakerlied (I schrei hü),-8.033999999999999,135.02100000000002,1,7,1,172.72118,45.795563055100004,-47.1136056838,82.20540497340001,4.72663587922,-68.4285452931,8.27715097691,-14.4835488455,-4.98458969805,22.840159857899998,4.06794138544,-3.21142984014,14.5809928952,34.091241322399995,1694.72342888,1499.74313123,2220.70601012,777.3755546780001,920.6163423410001,897.532088407,272.98978705900004,272.72175330700003,192.20186809400002,469.009548288,537.364923151
folk,TRKIBEV12903CC09B7,David Olney,Heaven's Game,-15.217,130.405,4,7,1,137.61261000000002,35.119088709699994,-27.9880430108,-5.529223118280001,-25.680956989200002,-4.58862903226,8.54650806452,-17.0722096774,-2.11388709677,12.478422043,3.35234408602,-5.86672043011,16.5627930108,36.9775848873,1969.68845904,1317.49664299,3486.90178161,825.50335768,1248.83087354,775.6766252839999,647.873092385,607.546356975,324.953406365,491.659810583,313.094988938
